time,od,treat
0,0.016,0
2,0.055,0
4,0.285,0
6,0.461,0
8,0.645,0
17,0.882,0
19,0.918,0
21,0.917,0
23,0.905,0
25,0.905,0
27,0.924,0
29,0.856,0
31,0.781,0
0,0.02,5
2,0.031,5
4,0.188,5
6,0.419,5
8,0.602,5
17,0.867,5
19,0.907,5
21,0.907,5
23,0.896,5
25,0.891,5
27,0.910,5
29,0.929,5
31,0.801,5
0,0.017,10
2,0.02,10
4,0.102,10
6,0.335,10
8,0.557,10
17,0.831,10
19,0.879,10
21,0.895,10
23,0.897,10
25,0.908,10
27,0.959,10
29,0.936,10
31,0.882,10
0,0.017,20
2,0.016,20
4,0.030,20
6,0.175,20
8,0.499,20
17,0.744,20
19,0.800,20
21,0.840,20
23,0.863,20
25,0.881,20
27,0.949,20
29,0.930,20
31,0.922,20
0,0.017,40
2,0.013,40
4,0.011,40
6,0.008,40
8,0.099,40
17,0.481,40
19,0.571,40
21,0.646,40
23,0.721,40
25,0.774,40
27,0.920,40
29,0.881,40
31,0.949,40
0,0.015,80
2,0.012,80
4,0.008,80
6,0.003,80
8,0.095,80
17,0.029,80
19,0.033,80
21,0.123,80
23,0.411,80
25,0.597,80
27,0.792,80
29,0.779,80
31,0.881,80
